409.434,409.45,409.463,409.474,409.482,409.487,409.488,409.486,409.48,409.471,409.458,409.442,407.542,408.062,408.457,408.726,408.893,408.989,409.046,409.082,409.089,409.037,408.884,329.77,329.786,329.8,329.81,329.817,329.819,329.818,329.813,329.804,329.791,329.776,328.862,329.123,329.241,329.249,329.189,329.104,329.025,328.967,328.923,328.87,328.773,332.154,332.694,333.036,333.204,333.248,333.223,333.179,333.137,333.093,333.016,332.861,332.587,333.722,333.737,333.75,333.76,333.767,333.769,333.768,333.764,333.756,333.744,333.73,412.419,412.721,412.877,412.931,412.927,412.886,412.801,412.637,412.351,411.903,411.277,413.266,413.28,413.289,413.295,413.297,413.295,413.289,413.28,413.268,413.254,413.238,490.92,490.967,490.962,490.908,490.774,490.507,490.059,489.401,488.549,487.555,486.494,485.441,490.072,490.082,490.092,490.1,490.108,490.114,490.119,490.121,490.121,490.118,490.112,546.944,546.404,545.979,545.635,545.308,544.927,544.433,543.801,543.043,542.207,541.357,545.336,545.35,545.364,545.376,545.384,545.387,545.386,545.379,545.367,545.351,545.331,546.865,546.86,546.854,546.847,546.839,546.832,546.825,546.818,546.813,546.809,546.807,546.805,542.828,543.699,544.589,545.418,546.112,546.633,546.993,547.251,547.494,547.806,548.244,490.739,490.744,490.745,490.744,490.74,490.734,490.726,490.718,490.709,490.7,490.69,487.33,488.253,489.12,489.854,490.398,490.733,490.881,490.895,490.839,490.763,490.691,490.616
409.556,409.577,409.594,409.609,409.619,409.626,409.628,409.625,409.618,409.606,409.59,409.57,407.442,407.959,408.35,408.618,408.783,408.878,408.935,408.971,408.979,408.929,408.78,329.896,329.918,329.935,329.948,329.957,329.961,329.96,329.953,329.941,329.925,329.905,328.756,329.014,329.129,329.134,329.073,328.987,328.909,328.852,328.809,328.759,328.666,332.04,332.576,332.915,333.081,333.123,333.098,333.053,333.013,332.97,332.895,332.743,332.473,333.85,333.87,333.887,333.9,333.908,333.911,333.91,333.904,333.893,333.878,333.86,412.311,412.609,412.761,412.814,412.808,412.767,412.682,412.521,412.237,411.793,411.171,413.393,413.41,413.422,413.43,413.432,413.428,413.42,413.408,413.392,413.374,413.353,490.815,490.86,490.852,490.797,490.662,490.396,489.947,489.292,488.442,487.451,486.394,485.346,490.178,490.19,490.202,490.212,490.221,490.229,490.234,490.237,490.236,490.231,490.223,546.842,546.299,545.873,545.528,545.201,544.822,544.33,543.699,542.943,542.109,541.262,545.444,545.462,545.479,545.493,545.503,545.508,545.506,545.498,545.483,545.463,545.438,546.976,546.97,546.961,546.952,546.942,546.933,546.924,546.917,546.911,546.906,546.904,546.903,542.743,543.609,544.495,545.319,546.01,546.529,546.888,547.147,547.392,547.707,548.149,490.849,490.855,490.858,490.857,490.852,490.845,490.835,490.824,490.813,490.802,490.79,487.236,488.154,489.017,489.748,490.289,490.623,490.771,490.786,490.73,490.656,490.587,490.516
409.7,409.726,409.748,409.767,409.78,409.789,409.792,409.789,409.781,409.766,409.747,409.722,407.322,407.835,408.224,408.489,408.652,408.746,408.802,408.839,408.848,408.801,408.654,330.046,330.073,330.095,330.112,330.123,330.128,330.126,330.118,330.104,330.083,330.057,328.63,328.883,328.995,328.998,328.935,328.849,328.771,328.714,328.674,328.626,328.537,331.904,332.436,332.771,332.934,332.974,332.948,332.904,332.864,332.823,332.751,332.602,332.336,334.001,334.027,334.048,334.064,334.074,334.078,334.077,334.069,334.056,334.037,334.014,412.181,412.475,412.624,412.674,412.667,412.625,412.542,412.382,412.102,411.661,411.045,413.543,413.564,413.579,413.588,413.59,413.585,413.575,413.559,413.539,413.515,413.489,490.69,490.732,490.722,490.665,490.529,490.263,489.816,489.163,488.316,487.329,486.277,485.235,490.3,490.315,490.328,490.34,490.351,490.36,490.366,490.369,490.367,490.361,490.35,546.724,546.179,545.751,545.406,545.08,544.702,544.213,543.585,542.832,542.001,541.156,545.564,545.585,545.605,545.622,545.635,545.641,545.639,545.629,545.611,545.587,545.557,547.099,547.09,547.08,547.068,547.056,547.045,547.034,547.025,547.018,547.014,547.012,547.012,542.647,543.508,544.387,545.206,545.893,546.409,546.768,547.027,547.274,547.592,548.038,490.975,490.983,490.988,490.987,490.982,490.973,490.961,490.948,490.934,490.921,490.907,487.126,488.038,488.896,489.623,490.161,490.493,490.64,490.655,490.602,490.529,490.463,490.396
409.867,409.9,409.928,409.951,409.968,409.979,409.983,409.981,409.971,409.954,409.93,409.9,407.181,407.69,408.074,408.336,408.497,408.589,408.646,408.682,408.693,408.649,408.506,330.222,330.255,330.283,330.304,330.317,330.323,330.321,330.311,330.294,330.268,330.237,328.481,328.729,328.837,328.838,328.773,328.686,328.608,328.553,328.515,328.47,328.385,331.743,332.269,332.6,332.761,332.799,332.772,332.728,332.69,332.651,332.581,332.436,332.174,334.179,334.211,334.236,334.256,334.268,334.273,334.271,334.262,334.246,334.223,334.194,412.028,412.316,412.461,412.509,412.5,412.458,412.376,412.219,411.942,411.507,410.895,413.719,413.745,413.763,413.773,413.775,413.768,413.755,413.735,413.71,413.68,413.647,490.543,490.581,490.569,490.51,490.373,490.108,489.663,489.012,488.169,487.187,486.141,485.105,490.442,490.458,490.473,490.487,490.5,490.51,490.517,490.52,490.517,490.508,490.494,546.591,546.042,545.613,545.268,544.944,544.569,544.082,543.458,542.709,541.881,541.038,545.696,545.72,545.743,545.763,545.778,545.785,545.783,545.772,545.751,545.723,545.687,547.234,547.223,547.21,547.195,547.181,547.167,547.155,547.144,547.136,547.132,547.131,547.132,542.54,543.394,544.266,545.079,545.761,546.274,546.63,546.89,547.139,547.46,547.91,491.119,491.13,491.137,491.137,491.131,491.121,491.106,491.091,491.074,491.058,491.042,486.998,487.903,488.755,489.476,490.011,490.34,490.487,490.502,490.45,490.38,490.317,490.254
410.061,410.101,410.136,410.164,410.185,410.199,410.205,410.202,410.191,410.171,410.143,410.108,407.016,407.519,407.9,408.158,408.316,408.407,408.462,408.499,408.512,408.47,408.331,330.426,330.466,330.5,330.525,330.542,330.549,330.547,330.535,330.514,330.483,330.445,328.306,328.549,328.653,328.65,328.584,328.496,328.417,328.364,328.328,328.287,328.207,331.554,332.074,332.401,332.558,332.594,332.567,332.523,332.486,332.449,332.382,332.242,331.985,334.385,334.423,334.454,334.478,334.493,334.499,334.496,334.485,334.465,334.438,334.403,411.848,412.13,412.271,412.315,412.305,412.263,412.182,412.028,411.755,411.325,410.721,413.924,413.954,413.975,413.987,413.988,413.98,413.963,413.938,413.907,413.871,413.831,490.37,490.404,490.39,490.329,490.192,489.927,489.484,488.837,487.999,487.023,485.984,484.956,490.603,490.621,490.638,490.654,490.668,490.68,490.687,490.689,490.685,490.674,490.656,546.439,545.888,545.458,545.114,544.792,544.419,543.937,543.317,542.572,541.748,540.909,545.839,545.866,545.893,545.916,545.933,545.942,545.94,545.927,545.903,545.87,545.829,547.381,547.367,547.351,547.334,547.317,547.301,547.286,547.273,547.265,547.26,547.261,547.265,542.421,543.267,544.131,544.937,545.612,546.121,546.475,546.735,546.985,547.309,547.764,491.282,491.297,491.306,491.308,491.302,491.289,491.273,491.254,491.235,491.216,491.198,486.849,487.746,488.591,489.306,489.836,490.163,490.308,490.324,490.273,490.206,490.146,490.087
410.284,410.332,410.374,410.408,410.434,410.451,410.458,410.456,410.443,410.421,410.388,410.347,406.824,407.321,407.697,407.952,408.106,408.195,408.25,408.287,408.301,408.262,408.128,330.661,330.709,330.749,330.779,330.799,330.807,330.805,330.791,330.765,330.729,330.684,328.102,328.34,328.44,328.434,328.365,328.276,328.198,328.146,328.113,328.076,328,331.335,331.848,332.17,332.323,332.357,332.329,332.286,332.25,332.216,332.153,332.017,331.766,334.622,334.667,334.704,334.731,334.749,334.757,334.754,334.74,334.717,334.684,334.642,411.639,411.915,412.051,412.092,412.08,412.038,411.958,411.808,411.54,411.116,410.519,414.158,414.194,414.218,414.231,414.232,414.221,414.2,414.17,414.132,414.089,414.04,490.169,490.2,490.182,490.12,489.983,489.719,489.278,488.635,487.804,486.835,485.805,484.785,490.786,490.806,490.824,490.841,490.857,490.87,490.878,490.88,490.874,490.859,490.837,546.27,545.716,545.285,544.941,544.622,544.254,543.777,543.162,542.422,541.603,540.768,545.993,546.024,546.054,546.08,546.1,546.11,546.108,546.094,546.067,546.029,545.982,547.54,547.523,547.504,547.484,547.464,547.445,547.427,547.413,547.404,547.4,547.403,547.41,542.289,543.126,543.981,544.778,545.446,545.949,546.301,546.56,546.812,547.14,547.599,491.466,491.485,491.497,491.5,491.494,491.48,491.461,491.439,491.417,491.396,491.375,486.678,487.566,488.402,489.11,489.635,489.958,490.102,490.118,490.068,490.003,489.948,489.893
410.537,410.594,410.644,410.684,410.715,410.736,410.745,410.743,410.73,410.704,410.668,410.62,406.604,407.094,407.464,407.715,407.866,407.953,408.006,408.043,408.059,408.023,407.894,330.928,330.984,331.031,331.066,331.089,331.1,331.097,331.081,331.051,331.009,330.955,327.869,328.101,328.196,328.187,328.116,328.025,327.948,327.897,327.866,327.833,327.763,331.082,331.589,331.905,332.055,332.087,332.058,332.016,331.982,331.95,331.891,331.759,331.514,334.89,334.943,334.986,335.019,335.04,335.048,335.045,335.029,335.002,334.964,334.915,411.398,411.668,411.799,411.836,411.822,411.781,411.703,411.556,411.293,410.876,410.288,414.425,414.466,414.494,414.508,414.508,414.495,414.469,414.433,414.388,414.336,414.279,489.939,489.965,489.945,489.881,489.743,489.481,489.044,488.406,487.581,486.622,485.601,484.592,490.991,491.012,491.032,491.051,491.069,491.083,491.091,491.092,491.084,491.065,491.038,546.08,545.524,545.093,544.751,544.435,544.072,543.601,542.993,542.259,541.446,540.616,546.159,546.192,546.225,546.255,546.277,546.289,546.288,546.272,546.242,546.199,546.146,547.711,547.691,547.668,547.644,547.621,547.599,547.58,547.564,547.554,547.551,547.556,547.567,542.145,542.971,543.816,544.602,545.262,545.759,546.107,546.365,546.619,546.949,547.413,491.67,491.695,491.711,491.716,491.711,491.695,491.673,491.647,491.622,491.598,491.575,486.483,487.361,488.187,488.886,489.405,489.724,489.865,489.881,489.833,489.771,489.719,489.67
410.823,410.89,410.948,410.995,411.031,411.055,411.067,411.066,411.051,411.024,410.982,410.928,406.352,406.836,407.2,407.446,407.594,407.677,407.729,407.767,407.784,407.751,407.627,331.228,331.294,331.348,331.388,331.415,331.427,331.424,331.405,331.371,331.322,331.26,327.605,327.83,327.92,327.907,327.834,327.743,327.665,327.615,327.588,327.559,327.495,330.795,331.294,331.605,331.751,331.782,331.752,331.71,331.678,331.649,331.594,331.468,331.228,335.192,335.253,335.303,335.34,335.364,335.374,335.37,335.353,335.321,335.277,335.221,411.125,411.387,411.513,411.546,411.531,411.489,411.414,411.271,411.014,410.605,410.025,414.726,414.772,414.803,414.818,414.817,414.8,414.77,414.727,414.674,414.613,414.547,489.676,489.698,489.675,489.609,489.472,489.212,488.778,488.147,487.33,486.381,485.371,484.374,491.22,491.242,491.263,491.284,491.303,491.318,491.327,491.326,491.315,491.292,491.259,545.87,545.312,544.881,544.542,544.23,543.873,543.409,542.809,542.083,541.276,540.452,546.335,546.371,546.407,546.44,546.465,546.479,546.478,546.461,546.427,546.379,546.32,547.893,547.87,547.843,547.816,547.789,547.764,547.742,547.725,547.714,547.712,547.72,547.736,541.989,542.803,543.635,544.409,545.059,545.549,545.893,546.15,546.404,546.738,547.206,491.897,491.928,491.948,491.956,491.951,491.934,491.909,491.88,491.851,491.825,491.8,486.263,487.129,487.944,488.633,489.144,489.458,489.598,489.613,489.566,489.507,489.459,489.415
411.142,411.219,411.286,411.341,411.382,411.411,411.425,411.424,411.409,411.379,411.333,411.273,406.069,406.545,406.903,407.143,407.287,407.368,407.419,407.456,407.475,407.445,407.326,331.563,331.638,331.699,331.746,331.776,331.789,331.786,331.764,331.726,331.67,331.599,327.307,327.526,327.611,327.595,327.519,327.427,327.349,327.301,327.276,327.252,327.194,330.473,330.964,331.269,331.412,331.44,331.41,331.369,331.339,331.313,331.262,331.14,330.907,335.527,335.597,335.654,335.696,335.724,335.735,335.731,335.711,335.675,335.625,335.561,410.818,411.073,411.192,411.222,411.205,411.163,411.09,410.952,410.702,410.3,409.73,415.06,415.111,415.145,415.161,415.159,415.139,415.103,415.053,414.992,414.922,414.845,489.38,489.398,489.371,489.304,489.167,488.91,488.481,487.857,487.05,486.112,485.115,484.131,491.473,491.495,491.518,491.54,491.56,491.577,491.585,491.583,491.568,491.54,491.501,545.64,545.08,544.65,544.314,544.007,543.657,543.202,542.61,541.893,541.094,540.276,546.522,546.559,546.598,546.634,546.662,546.678,546.678,546.659,546.623,546.57,546.504,548.086,548.059,548.029,547.998,547.968,547.94,547.915,547.895,547.884,547.884,547.895,547.916,541.82,542.62,543.438,544.2,544.838,545.319,545.658,545.913,546.169,546.505,546.978,492.145,492.183,492.209,492.221,492.217,492.198,492.17,492.137,492.104,492.075,492.049,486.017,486.869,487.671,488.35,488.852,489.16,489.297,489.312,489.266,489.209,489.165,489.127
411.494,411.583,411.659,411.721,411.769,411.801,411.818,411.819,411.803,411.771,411.721,411.654,405.753,406.221,406.572,406.807,406.947,407.025,407.074,407.111,407.131,407.105,406.991,331.932,332.017,332.086,332.137,332.171,332.186,332.182,332.158,332.115,332.052,331.972,326.977,327.189,327.269,327.249,327.172,327.078,327.001,326.954,326.932,326.911,326.859,330.114,330.597,330.897,331.036,331.062,331.032,330.992,330.964,330.941,330.893,330.777,330.551,335.895,335.974,336.038,336.087,336.118,336.131,336.126,336.103,336.064,336.007,335.935,410.476,410.723,410.836,410.862,410.844,410.803,410.732,410.598,410.355,409.963,409.403,415.427,415.484,415.522,415.538,415.534,415.511,415.469,415.412,415.341,415.261,415.174,489.05,489.062,489.033,488.965,488.829,488.574,488.151,487.535,486.74,485.814,484.832,483.863,491.749,491.772,491.795,491.819,491.841,491.858,491.866,491.862,491.843,491.809,491.763,545.389,544.828,544.399,544.067,543.767,543.425,542.979,542.397,541.69,540.9,540.089,546.718,546.757,546.798,546.837,546.868,546.886,546.886,546.867,546.827,546.77,546.697,548.289,548.259,548.224,548.19,548.156,548.125,548.097,548.076,548.064,548.065,548.08,548.108,541.638,542.424,543.227,543.973,544.599,545.07,545.403,545.656,545.912,546.251,546.728,492.416,492.46,492.493,492.509,492.507,492.487,492.456,492.419,492.382,492.351,492.323,485.744,486.581,487.369,488.035,488.527,488.829,488.962,488.976,488.931,488.877,488.837,488.804
